wrong,right,category

adra,ardra,astrology
visaka,visakha,astrology

moola,mula,astrology
dhanishta,dhanistha,astrology
sravana,shravana,astrology


poonarbasu,punarvasu,astrology
moola,mula,astrology
makha,magha,astrology
dhanishta,dhanistha,astrology
vttarfalgooni,uttaraphalguni,astrology



satabhisha,shatabhisha,astrology
satabhisa,shatabhisha,astrology
satavisha,shatabhisha,astrology

yisakha,visaka,astrology
hasla,hasta,astrology
sravan,sravana,astrology
uttarvadrapada,uttarbhadrapada,astrology


poorbafalgooni,purvaphalguni,astrology
uttarfalgooni,uttaraphalguni,astrology

krithika,krittika,astrology
poonarvasu,punarvasu,astrology

pusya,pushya,astrology
jestha,jyesta,astrology
dhanista,dhanistha,astrology

poorbasarha,purvashadha,astrology
uttarasarha,uttarashadha,astrology
poorbavadrapada,purvabhadra,astrology
purvabhadrapada,purvabhadra,astrology
uttarbhadra,uttarbhadrapada,astrology
rebati,revati,astrology
revathi,revati,astrology
visakha,visaka,astrology
budba,budha,astrology
mangat,mangal,astrology
rahn,rahu,astrology
vrbaspatbi,vrhaspati,astrology
vrbaspathi,vrhaspati,astrology
vrhaspatbi,vrhaspati,astrology
vrhaspathi,vrhaspati,astrology

karkat,karkata,astrology
mithun,mithuna,astrology
mithune,mithuna,astrology
makar,makara,astrology
vriscika,vrscika,astrology
naksbatra,nakshatra,astrology
dustbana,dusthana,astrology
dusthan,dusthana,astrology
kalapurus,kalapurush,astrology
kalpurush,kalapurush,astrology
lagoa,lagna,astrology
hhava,bhava,astrology
bbavas,bhavas,astrology
ristba,ristha,astrology
unfavourahle,unfavourable,astrology_text
aapected,aspected,english_ocr
aspccted,aspected,english_ocr
aspectcd,aspected,english_ocr
affiicted,afflicted,english_ocr
aflicted,afflicted,english_ocr
ahove,above,english_ocr
arc,are,english_ocr
aud,and,english_ocr
chaptbr,chapter,english_ocr
henefic,benefic,english_ocr
houso,house,english_ocr
iord,lord,english_ocr
tbe,the,english_ocr
thhe,the,english_ocr
tne,the,english_ocr
witb,with,english_ocr
