SUSPECT                     COUNT    POSSIBLE CORRECTION         COUNT
------------------------------------------------------------------------
aapected                        2    aspected                      270
accidents                       2    accident                       15
acquired                        8    acquires                       29
add                             3    and                          3066
affiicted                       3    afflicted                      78
aflicted                        2    afflicted                      78
ages                            3    age                            48
ahove                           2    above                          45
alike                           2    like                           46
alive                           2    live                           20
anger                           3    danger                         20
antardasas                     18    antardasa                     148
arc                            16    are                           743
aristha                         2    ristha                         36
art                             8    are                           743
art                             8    part                           38
aspccted                        6    aspected                      270
aspectcd                        2    aspected                      270
associates                      2    associated                    133
attached                        7    attacked                       27
attribute                       5    attributes                     15
aud                             4    and                          3066
authors                         4    author                         24
away                            8    way                            24
ball                            2    all                           184
ball                            2    fall                           19
ball                            2    bala                           13
band                            3    and                          3066
band                            3    bad                            44
band                            3    land                           34
band                            3    hand                           25
bas                             8    has                           139
bas                             8    bad                            44
bas                             8    was                            25
basis                           7    rasis                          30
bath                            5    both                           76
bbavas                          2    bhavas                         52
bead                            2    bad                            44
bead                            2    head                           25
bead                            2    lead                           13
bears                           2    years                          29
bed                             5    bad                            44
beings                          2    being                         130
benefits                        2    benefics                       29
beset                           4    best                           13
bhav                            2    bhava                         166
birthcharts                     2    birthchart                     10
births                          2    birth                         121
bis                            12    his                           552
bit                             2    but                           227
bit                             2    bis                            12
bore                            3    more                           63
bore                            3    born                           30
bound                           4    found                          21
bow                             3    now                            15
bow                             3    low                            10
bring                           8    being                         130
budba                           3    budha                         232
bull                            2    full                           47
burn                            4    born                           30
call                            7    all                           184
came                            2    case                           93
came                            2    same                           79
came                            2    name                           42
came                            2    fame                           35
came                            2    come                           10
car                             2    can                            51
car                             2    far                            10
care                            2    are                           743
care                            2    case                           93
cases                          19    case                           93
cast                            5    case                           93
caste                          14    case                           93
caused                         15    cause                          52
change                          3    chance                         21
chaptbr                         2    chapter                        26
chara                           5    chart                          99
chara                           5    chakra                         16
charts                          6    chart                          99
chaste                          2    caste                          14
combines                        3    combined                       23
come                           10    some                           57
considerations                  2    consideration                  12
corn                            2    born                           30
could                           3    would                          41
could                           3    cold                           12
cow                             2    now                            15
cow                             2    low                            10
cut                             4    but                           227
cut                             4    out                            30
dancer                          2    danger                         20
dangers                         4    danger                         20
daring                          3    during                         71
dasas                          15    dasa                          170
dead                            2    head                           25
dead                            2    lead                           13
degrees                         9    degree                         36
deprived                        3    derived                        12
derive                          2    derived                        12
derives                         2    derived                        12
did                             2    die                            26
dina                            2    mina                           32
divide                          2    divine                         10
down                           12    own                           123
dry                             2    day                            21
dull                            5    full                           47
dustbana                        2    dusthana                       38
dusthan                         9    dusthana                       38
dusthanas                      12    dusthana                       38
ear                             4    earn                           31
earned                          2    learned                        41
ears                            6    earn                           31
ears                            6    years                          29
ears                            6    earns                          21
east                            2    least                          12
east                            2    last                           10
efforts                         2    effort                         18
end                             9    and                          3066
event                           2    even                           59
ever                            2    even                           59
ever                            2    over                           43
ever                            2    every                          13
ever                            2    never                          10
every                          13    very                          173
experienced                     4    experience                     16
eyed                            2    eyes                           15
eyed                            2    eye                            11
face                           10    fame                           35
faced                           2    face                           10
faces                           2    face                           10
fail                            3    fall                           19
fair                            2    far                            10
fall                           19    all                           184
fan                             2    man                           196
fan                             2    can                            51
fan                             2    far                            10
far                            10    for                           142
fat                             2    far                            10
favorable                       2    favourable                    252
fight                           4    light                          17
fill                            2    will                          560
fill                            2    full                           47
fill                            2    ill                            21
fill                            2    fall                           19
find                            9    mind                           34
five                            2    give                           70
five                            2    fire                           25
five                            2    live                           20
follow                          4    follows                        21
fond                            3    found                          21
food                            9    good                          167
form                           11    for                           142
former                          7    formed                         28
forms                           2    form                           11
four                           17    for                           142
friend                          8    friends                        24
fully                           2    full                           47
gains                           2    gain                           22
gait                            2    gain                           22
gather                          2    father                         58
gem                             4    get                            31
given                           7    give                           70
given                           7    gives                          35
giver                           4    give                           70
giver                           4    gives                          35
gland                           5    land                           34
goes                            2    does                           28
goes                            2    gods                           20
gold                            9    good                          167
got                             4    not                           310
got                             4    get                            31
got                             4    god                            23
gout                            7    out                            30
had                             5    has                           139
had                             5    bad                            44
had                             5    head                           25
had                             5    hand                           25
hall                            2    all                           184
hall                            2    shall                         153
hall                            2    fall                           19
hard                            6    hand                           25
healthy                         4    wealthy                        36
healthy                         4    health                         27
heat                            2    head                           25
heat                            2    heart                          11
helps                           5    help                           25
henefic                         2    benefic                       145
hhava                           2    bhava                         166
hither                          4    either                         38
hole                            2    holy                           10
honesty                         2    honest                         11
horoscopes                      5    horoscope                      24
horse                           6    house                        1047
horses                          3    houses                        173
hot                             3    not                           310
houso                           2    house                        1047
hrs                             2    his                           552
hrs                             2    has                           139
hue                             3    due                            92
hut                             4    but                           227
hut                             4    out                            30
increases                       2    increase                       12
iord                            2    lord                         1128
join                            2    joins                          11
kalapurus                       4    kalapurush                     16
kalas                           2    kala                           10
kalpurush                       3    kalapurush                     16
karakas                         3    karaka                         43
karakas                         3    marakas                        11
karakata                        8    karkata                        38
karkat                          2    karkata                        38
karta                           4    karma                          34
keen                            4    been                           32
kendras                        12    kendra                        177
khala                           3    kala                           10
kill                            3    will                          560
kill                            3    ill                            21
kin                             8    king                           68
kings                          11    king                           68
kith                            8    with                          684
konas                           2    kona                           80
kurma                           2    karma                          34
lack                            4    luck                           31
lagnas                          9    lagna                         543
